Sample	MappedReadCount
RNA1_P43_M01_WK1_concoct.113	92701
RNA1_P43_M01_WK1_concoct.20	23679
RNA1_P43_M01_WK1_concoct.35	143397
RNA1_P43_M01_WK1_concoct.37_sub	59369
RNA1_P43_M01_WK1_concoct.38	334401
RNA1_P43_M01_WK1_concoct.41	457270
RNA1_P43_M01_WK1_concoct.48_sub	27636
RNA1_P43_M01_WK1_concoct.56	468017
RNA1_P43_M01_WK1_concoct.57	22268
RNA1_P43_M01_WK1_concoct.58	144775
RNA1_P43_M01_WK1_concoct.60	133040
RNA1_P43_M01_WK1_concoct.68	159302
RNA1_P43_M01_WK1_concoct.69	170493
RNA1_P43_M01_WK1_concoct.74	132263
RNA1_P43_M01_WK1_concoct.77_sub	51087
RNA1_P43_M01_WK1_concoct.78	147557
RNA1_P43_M01_WK1_concoct.7	234098
RNA1_P43_M01_WK1_concoct.82_sub	26967
RNA1_P43_M01_WK1_concoct.83	84112
RNA1_P43_M01_WK1_concoct.92_sub	41102
RNA1_P43_M01_WK1_concoct.95	183421
RNA1_P43_M01_WK1_maxbin.10	36571
RNA1_P43_M01_WK1_maxbin.11	104806
RNA1_P43_M01_WK1_maxbin.12_sub	38273
RNA1_P43_M01_WK1_maxbin.15_sub	131008
RNA1_P43_M01_WK1_maxbin.17	68715
RNA1_P43_M01_WK1_maxbin.21	11877
RNA1_P43_M01_WK1_maxbin.41	199008
RNA1_P43_M01_WK1_maxbin.54	109851
RNA1_P43_M01_WK1_metabat2.12	29670
RNA1_P43_M01_WK1_metabat2.16_sub	105349
RNA1_P43_M01_WK1_metabat2.47	17170
RNA1_P43_M01_WK1_metabat2.4_sub	235679
RNA1_P43_M01_WK1_metabat2.65	59570
RNA1_P43_M01_WK1_metabat2.80	20874
RNA1_P43_M01_WK1_metabat2.91	29086
RNA20_P1_M09_WK1_concoct.113	246564
RNA20_P1_M09_WK1_concoct.20	107420
RNA20_P1_M09_WK1_concoct.35	181057
RNA20_P1_M09_WK1_concoct.37_sub	236098
RNA20_P1_M09_WK1_concoct.38	1059925
RNA20_P1_M09_WK1_concoct.41	168286
RNA20_P1_M09_WK1_concoct.48_sub	260286
RNA20_P1_M09_WK1_concoct.56	786356
RNA20_P1_M09_WK1_concoct.57	24041
RNA20_P1_M09_WK1_concoct.58	280111
RNA20_P1_M09_WK1_concoct.60	285565
RNA20_P1_M09_WK1_concoct.68	1185253
RNA20_P1_M09_WK1_concoct.69	670526
RNA20_P1_M09_WK1_concoct.74	158375
RNA20_P1_M09_WK1_concoct.77_sub	54838
RNA20_P1_M09_WK1_concoct.78	283377
RNA20_P1_M09_WK1_concoct.7	672458
RNA20_P1_M09_WK1_concoct.82_sub	99444
RNA20_P1_M09_WK1_concoct.83	159377
RNA20_P1_M09_WK1_concoct.92_sub	45888
RNA20_P1_M09_WK1_concoct.95	736664
RNA20_P1_M09_WK1_maxbin.10	23270
RNA20_P1_M09_WK1_maxbin.11	164328
RNA20_P1_M09_WK1_maxbin.12_sub	53713
RNA20_P1_M09_WK1_maxbin.15_sub	269880
RNA20_P1_M09_WK1_maxbin.17	125640
RNA20_P1_M09_WK1_maxbin.21	35317
RNA20_P1_M09_WK1_maxbin.41	1674446
RNA20_P1_M09_WK1_maxbin.54	64833
RNA20_P1_M09_WK1_metabat2.12	103069
