Sample	MappedReadCount
DNA20_P1_M09_WK1_maxbin.10_modified_drep_counts	27945
DNA20_P1_M09_WK1_maxbin.11_modified_drep_counts	234647
DNA20_P1_M09_WK1_maxbin.12_sub_modified_drep_counts	39850
DNA20_P1_M09_WK1_maxbin.15_sub_modified_drep_counts	540549
DNA20_P1_M09_WK1_maxbin.17_modified_drep_counts	159506
DNA20_P1_M09_WK1_maxbin.21_modified_drep_counts	31548
DNA20_P1_M09_WK1_maxbin.41_modified_drep_counts	3437680
DNA20_P1_M09_WK1_maxbin.54_modified_drep_counts	52786
DNA20_P1_M09_WK1_metabat2.12_modified_drep_counts	112138
DNA20_P1_M09_WK1_metabat2.16_sub_modified_drep_counts	287094
DNA20_P1_M09_WK1_metabat2.47_modified_drep_counts	92578
DNA20_P1_M09_WK1_metabat2.4_sub_modified_drep_counts	1708829
DNA20_P1_M09_WK1_metabat2.65_modified_drep_counts	117640
DNA20_P1_M09_WK1_metabat2.80_modified_drep_counts	82971
DNA20_P1_M09_WK1_metabat2.91_modified_drep_counts	63439
DNA21_P33_M09_WK1_concoct.113_modified_drep_counts	169016
DNA21_P33_M09_WK1_concoct.20_modified_drep_counts	206393
DNA21_P33_M09_WK1_concoct.35_modified_drep_counts	220665
DNA21_P33_M09_WK1_concoct.37_sub_modified_drep_counts	132349
DNA21_P33_M09_WK1_concoct.38_modified_drep_counts	800743
DNA21_P33_M09_WK1_concoct.41_modified_drep_counts	414227
DNA21_P33_M09_WK1_concoct.48_sub_modified_drep_counts	741282
DNA21_P33_M09_WK1_concoct.56_modified_drep_counts	693402
DNA21_P33_M09_WK1_concoct.57_modified_drep_counts	33753
DNA21_P33_M09_WK1_concoct.58_modified_drep_counts	254827
DNA21_P33_M09_WK1_concoct.60_modified_drep_counts	299707
DNA21_P33_M09_WK1_concoct.68_modified_drep_counts	830170
DNA21_P33_M09_WK1_concoct.69_modified_drep_counts	446724
DNA21_P33_M09_WK1_concoct.74_modified_drep_counts	145999
DNA21_P33_M09_WK1_concoct.77_sub_modified_drep_counts	69853
DNA21_P33_M09_WK1_concoct.78_modified_drep_counts	299699
DNA21_P33_M09_WK1_concoct.7_modified_drep_counts	553616
DNA21_P33_M09_WK1_concoct.82_sub_modified_drep_counts	150901
DNA21_P33_M09_WK1_concoct.83_modified_drep_counts	136025
DNA21_P33_M09_WK1_concoct.92_sub_modified_drep_counts	65227
DNA21_P33_M09_WK1_concoct.95_modified_drep_counts	589289
DNA21_P33_M09_WK1_maxbin.10_modified_drep_counts	22983
DNA21_P33_M09_WK1_maxbin.11_modified_drep_counts	189906
DNA21_P33_M09_WK1_maxbin.12_sub_modified_drep_counts	33012
DNA21_P33_M09_WK1_maxbin.15_sub_modified_drep_counts	416961
DNA21_P33_M09_WK1_maxbin.17_modified_drep_counts	134190
DNA21_P33_M09_WK1_maxbin.21_modified_drep_counts	25677
DNA21_P33_M09_WK1_maxbin.41_modified_drep_counts	2455775
DNA21_P33_M09_WK1_maxbin.54_modified_drep_counts	44733
DNA21_P33_M09_WK1_metabat2.12_modified_drep_counts	74051
DNA21_P33_M09_WK1_metabat2.16_sub_modified_drep_counts	224113
DNA21_P33_M09_WK1_metabat2.47_modified_drep_counts	53910
DNA21_P33_M09_WK1_metabat2.4_sub_modified_drep_counts	1216425
DNA21_P33_M09_WK1_metabat2.65_modified_drep_counts	101745
DNA21_P33_M09_WK1_metabat2.80_modified_drep_counts	80093
DNA21_P33_M09_WK1_metabat2.91_modified_drep_counts	53752
DNA25_P19_M09_WK9_concoct.113_modified_drep_counts	136577
